name,count,amount,state,year,quarter,source,category,country,date,avg_transaction_value,growth
maharashtra,101149853,153294470088.05945,All,2019,2,map,transaction,india,2019-Q2,1515.5184663299456,391.92940856560165
dadra & nagar haveli & daman & diu,489656,824441276.56507,All,2019,2,map,transaction,india,2019-Q2,1683.715254311333,-0.9951591031971149
meghalaya,232286,492931289.1072781,All,2019,2,map,transaction,india,2019-Q2,2122.087810316929,-0.5256139003708726
andaman & nicobar islands,33689,120254709.6756632,All,2019,2,map,transaction,india,2019-Q2,3569.5541475159016,-0.8549675830657035
haryana,22741816,42501539813.21669,All,2019,2,map,transaction,india,2019-Q2,1868.8718532071796,674.0516785894506
rajasthan,50009286,89107313172.66756,All,2019,2,map,transaction,india,2019-Q2,1781.815344707532,1.1990014341862585
ladakh,68772,259255506.9974248,All,2019,2,map,transaction,india,2019-Q2,3769.78286217392,-0.998624815399284
punjab,8509830,18614793394.772213,All,2019,2,map,transaction,india,2019-Q2,2187.4459765673596,122.73974873495027
assam,5454929,10954969189.126177,All,2019,2,map,transaction,india,2019-Q2,2008.2698031681396,-0.3589849620967751
jharkhand,10128211,18622701305.54623,All,2019,2,map,transaction,india,2019-Q2,1838.6960249491476,0.8567081258069538
odisha,29512024,44754854871.67608,All,2019,2,map,transaction,india,2019-Q2,1516.495611133824,1.9138437183032622
bihar,29960479,63132438283.54397,All,2019,2,map,transaction,india,2019-Q2,2107.1905520450446,0.015195670754401647
kerala,7283826,13031371561.185568,All,2019,2,map,transaction,india,2019-Q2,1789.083314344078,-0.7568855290998519
karnataka,115401604,163702024226.0841,All,2019,2,map,transaction,india,2019-Q2,1418.5420180648798,14.843542116464617
chandigarh,1252470,2693116098.944456,All,2019,2,map,transaction,india,2019-Q2,2150.2439970174582,-0.9891468579587507
telangana,89610379,155676443182.43457,All,2019,2,map,transaction,india,2019-Q2,1737.259064404075,70.54692647328878
himachal pradesh,2502306,4875883973.61058,All,2019,2,map,transaction,india,2019-Q2,1948.5562411673793,-0.9720757123457764
west bengal,47023535,57105691119.11844,All,2019,2,map,transaction,india,2019-Q2,1214.406597018247,17.792080185237136
gujarat,28981842,49320615219.26732,All,2019,2,map,transaction,india,2019-Q2,1701.776416394352,-0.3836736859532147
sikkim,388244,738894243.4359412,All,2019,2,map,transaction,india,2019-Q2,1903.1697680735342,-0.9866038880482476
nagaland,188753,520066682.1585048,All,2019,2,map,transaction,india,2019-Q2,2755.276377903953,-0.5138289323209115
mizoram,75671,248016708.13501447,All,2019,2,map,transaction,india,2019-Q2,3277.5661499783864,-0.5991004116490863
chhattisgarh,9389945,17002355688.82225,All,2019,2,map,transaction,india,2019-Q2,1810.6981125898235,123.08908300405703
jammu & kashmir,2296355,6100142201.563448,All,2019,2,map,transaction,india,2019-Q2,2656.4456286434142,-0.7554453194347783
goa,768441,1591867103.3876145,All,2019,2,map,transaction,india,2019-Q2,2071.554098997339,-0.6653648934942551
