name,count,amount,state,year,quarter,source,category,level,country,date,avg_transaction_value,growth
rangareddy,6835,7932450.0,All,2021,4,top,insurance,districts,india,2021-Q4,1160.5632772494514,-0.025798175598631734
medchal malkajgiri,6553,7341035.0,All,2021,4,top,insurance,districts,india,2021-Q4,1120.255608118419,-0.0412582297000732
gurugram,5951,6492219.0,All,2021,4,top,insurance,districts,india,2021-Q4,1090.9458914468157,-0.09186632076911339
chennai,5769,6143037.0,All,2021,4,top,insurance,districts,india,2021-Q4,1064.835673426937,-0.030583095278104544
jaipur,5571,6278712.0,All,2021,4,top,insurance,districts,india,2021-Q4,1127.0350026925148,-0.03432137285491421
560068,1839,1905289.0,All,2021,4,top,insurance,pincodes,india,2021-Q4,1036.0462207721587,-0.6698976844372644
110059,1509,1603319.0,All,2021,4,top,insurance,pincodes,india,2021-Q4,1062.504307488403,-0.17944535073409462
421301,1473,1157196.0,All,2021,4,top,insurance,pincodes,india,2021-Q4,785.6048879837067,-0.02385685884691846
421302,1471,1338786.0,All,2021,4,top,insurance,pincodes,india,2021-Q4,910.1196464989803,-0.0013577732518669228
560078,1372,1472700.0,All,2021,4,top,insurance,pincodes,india,2021-Q4,1073.396501457726,-0.0673011556764106
560076,1308,1508537.0,All,2021,4,top,insurance,pincodes,india,2021-Q4,1153.315749235474,-0.04664723032069973
560043,1285,1483440.0,All,2021,4,top,insurance,pincodes,india,2021-Q4,1154.4280155642023,-0.01758409785932724
560058,1237,1231686.0,All,2021,4,top,insurance,pincodes,india,2021-Q4,995.7041228779304,-0.03735408560311282
110086,1220,1265728.0,All,2021,4,top,insurance,pincodes,india,2021-Q4,1037.4819672131148,-0.013742926434923253
560091,1201,1265605.0,All,2021,4,top,insurance,pincodes,india,2021-Q4,1053.7926727726895,-0.015573770491803307
karnataka,95640,59699082.30149983,All,2022,1,top,insurance,states,india,2022-Q1,624.5837487452926,78.63363863447127
maharashtra,88015,59699082.30149983,All,2022,1,top,insurance,states,india,2022-Q1,678.6932878486598,-0.07972605604349647
tamil nadu,47621,59699082.30149983,All,2022,1,top,insurance,states,india,2022-Q1,1254.3875544402636,-0.4589444980969153
uttar pradesh,45996,59699082.30149983,All,2022,1,top,insurance,states,india,2022-Q1,1298.704011870593,-0.034123600932361775
west bengal,38779,51160527.0,All,2022,1,top,insurance,states,india,2022-Q1,1319.2843291472188,-0.15690494825637014
kerala,37110,59699082.30149983,All,2022,1,top,insurance,states,india,2022-Q1,1609.6790549717,-0.04303875809071922
telangana,36325,51942016.0,All,2022,1,top,insurance,states,india,2022-Q1,1429.9247350309704,-0.021153327943950417
andhra pradesh,29954,42648157.0,All,2022,1,top,insurance,states,india,2022-Q1,1423.788375509114,-0.1753888506538197
delhi,28232,35442069.0,All,2022,1,top,insurance,states,india,2022-Q1,1255.386405497308,-0.057488148494358016
haryana,22783,32526943.0,All,2022,1,top,insurance,states,india,2022-Q1,1427.684808848703,-0.19300793425899687
bengaluru urban,57549,59699082.30149983,All,2022,1,top,insurance,districts,india,2022-Q1,1037.9883183026602,1.5259623403414828
pune,17790,24312875.0,All,2022,1,top,insurance,districts,india,2022-Q1,1366.65964024733,-0.6908721263618829
thane,14272,16536659.0,All,2022,1,top,insurance,districts,india,2022-Q1,1158.67846132287,-0.19775154581225407
mumbai suburban,10457,11756037.0,All,2022,1,top,insurance,districts,india,2022-Q1,1124.2265468107487,-0.26730661434977576
chennai,9138,9949256.0,All,2022,1,top,insurance,districts,india,2022-Q1,1088.7782884657474,-0.1261356029453954
hyderabad,7434,9813417.0,All,2022,1,top,insurance,districts,india,2022-Q1,1320.0722356739307,-0.18647406434668412
medchal malkajgiri,7300,10383529.0,All,2022,1,top,insurance,districts,india,2022-Q1,1422.4012328767124,-0.018025289211729856
rangareddy,7261,10851640.0,All,2022,1,top,insurance,districts,india,2022-Q1,1494.5103980168021,-0.0053424657534246744
kolkata,6763,7736401.0,All,2022,1,top,insurance,districts,india,2022-Q1,1143.930356350732,-0.06858559427076161
gurugram,6642,8138262.0,All,2022,1,top,insurance,districts,india,2022-Q1,1225.2728093947605,-0.017891468283306233
560068,2349,2922542.0,All,2022,1,top,insurance,pincodes,india,2022-Q1,1244.164325244785,-0.6463414634146342
560076,1718,2181826.0,All,2022,1,top,insurance,pincodes,india,2022-Q1,1269.9802095459836,-0.26862494678586635
560043,1713,2402868.0,All,2022,1,top,insurance,pincodes,india,2022-Q1,1402.725043782837,-0.0029103608847497187
560058,1699,1800069.0,All,2022,1,top,insurance,pincodes,india,2022-Q1,1059.4873454973513,-0.008172796263864579
421302,1673,1688051.0,All,2022,1,top,insurance,pincodes,india,2022-Q1,1008.9964136282127,-0.01530311948204821
560078,1671,1970551.0,All,2022,1,top,insurance,pincodes,india,2022-Q1,1179.2645122681029,-0.001195457262402888
560091,1656,2065687.0,All,2022,1,top,insurance,pincodes,india,2022-Q1,1247.395531400966,-0.008976660682226245
110059,1416,1666849.0,All,2022,1,top,insurance,pincodes,india,2022-Q1,1177.1532485875707,-0.14492753623188404
560079,1358,1534187.0,All,2022,1,top,insurance,pincodes,india,2022-Q1,1129.740058910162,-0.04096045197740117
560064,1288,1709573.0,All,2022,1,top,insurance,pincodes,india,2022-Q1,1327.3082298136646,-0.05154639175257736
karnataka,93385,59699082.30149983,All,2022,2,top,insurance,states,india,2022-Q2,639.6657892595148,71.50388198757764
maharashtra,80935,59699082.30149983,All,2022,2,top,insurance,states,india,2022-Q2,738.0637515290022,-0.13331905552283563
uttar pradesh,55133,59699082.30149983,All,2022,2,top,insurance,states,india,2022-Q2,1083.474320824185,-0.31879903626366835
tamil nadu,46714,59699082.30149983,All,2022,2,top,insurance,states,india,2022-Q2,1278.7427694053129,-0.15270346253604916
telangana,45600,58056956.0,All,2022,2,top,insurance,states,india,2022-Q2,1273.1788596491228,-0.023847240655906154
