name,count,amount,state,year,quarter,source,category,country,date,avg_transaction_value,growth
dadra & nagar haveli & daman & diu,421,425384.0,All,2021,4,map,insurance,india,2021-Q4,1010.4133016627078,-0.9948922024192276
meghalaya,263,451612.0,All,2021,4,map,insurance,india,2021-Q4,1717.1558935361218,-0.3752969121140143
andaman & nicobar islands,757,1056380.0,All,2021,4,map,insurance,india,2021-Q4,1395.4821664464994,1.8783269961977185
haryana,19489,25885838.0,All,2021,4,map,insurance,india,2021-Q4,1328.228128687978,24.745046235138705
rajasthan,19375,24455262.0,All,2021,4,map,insurance,india,2021-Q4,1262.2070709677419,-0.005849453537893123
ladakh,76,195966.0,All,2021,4,map,insurance,india,2021-Q4,2578.5,-0.9960774193548387
punjab,6638,9912828.0,All,2021,4,map,insurance,india,2021-Q4,1493.3455860198856,86.34210526315789
assam,8622,13962068.0,All,2021,4,map,insurance,india,2021-Q4,1619.353746230573,0.2988852063874661
jharkhand,8465,11190423.0,All,2021,4,map,insurance,india,2021-Q4,1321.9637330183107,-0.018209232196706115
odisha,9093,10941626.0,All,2021,4,map,insurance,india,2021-Q4,1203.3021005168812,0.07418783225044301
bihar,22456,27313813.0,All,2021,4,map,insurance,india,2021-Q4,1216.3258371927325,1.4695919938414166
kerala,19199,31260319.0,All,2021,4,map,insurance,india,2021-Q4,1628.2264180426064,-0.14503918774492341
karnataka,74436,55084362.288549274,All,2021,4,map,insurance,india,2021-Q4,742.3961751612179,2.877076931090161
chandigarh,710,835813.0,All,2021,4,map,insurance,india,2021-Q4,1177.2014084507043,-0.9904616045999247
telangana,34848,38845492.0,All,2021,4,map,insurance,india,2021-Q4,1114.7122359963269,48.08169014084507
himachal pradesh,2474,4667661.0,All,2021,4,map,insurance,india,2021-Q4,1886.6859337105902,-0.929005968778696
west bengal,26320,31282871.0,All,2021,4,map,insurance,india,2021-Q4,1188.5589285714286,9.638641875505254
gujarat,19142,23282921.0,All,2021,4,map,insurance,india,2021-Q4,1216.3264549158916,-0.2727203647416413
sikkim,195,503532.0,All,2021,4,map,insurance,india,2021-Q4,2582.2153846153847,-0.9898129767004493
nagaland,183,341424.0,All,2021,4,map,insurance,india,2021-Q4,1865.704918032787,-0.06153846153846154
mizoram,100,175847.0,All,2021,4,map,insurance,india,2021-Q4,1758.47,-0.45355191256830596
chhattisgarh,6029,8229039.0,All,2021,4,map,insurance,india,2021-Q4,1364.9094377176978,59.29
jammu & kashmir,3113,5223317.0,All,2021,4,map,insurance,india,2021-Q4,1677.904593639576,-0.4836622988887046
goa,2087,2737316.0,All,2021,4,map,insurance,india,2021-Q4,1311.6032582654527,-0.32958560873755216
arunachal pradesh,320,598459.0,All,2021,4,map,insurance,india,2021-Q4,1870.184375,-0.8466698610445615
delhi,34251,36578331.0,All,2021,4,map,insurance,india,2021-Q4,1067.9492861522292,106.034375
uttarakhand,5529,7849020.0,All,2021,4,map,insurance,india,2021-Q4,1419.6093326098753,-0.8385740562319348
puducherry,1199,1663404.0,All,2022,1,map,insurance,india,2022-Q1,1387.326105087573,-0.7831434255742449
tamil nadu,47621,55084362.288549274,All,2022,1,map,insurance,india,2022-Q1,1160.4334578085386,38.71726438698916
uttar pradesh,45996,55084362.288549274,All,2022,1,map,insurance,india,2022-Q1,1201.43059601488,-0.034123600932361775
madhya pradesh,13791,19901462.0,All,2022,1,map,insurance,india,2022-Q1,1443.0760640997753,-0.7001695799634751
andhra pradesh,29954,42648157.0,All,2022,1,map,insurance,india,2022-Q1,1423.788375509114,1.1719962294249875
tripura,907,1493401.0,All,2022,1,map,insurance,india,2022-Q1,1646.5281146637267,-0.9697202376978034
lakshadweep,27,34664.0,All,2022,1,map,insurance,india,2022-Q1,1283.851851851852,-0.9702315325248071
manipur,177,517854.0,All,2022,1,map,insurance,india,2022-Q1,2925.728813559322,5.555555555555555
maharashtra,88015,55084362.288549274,All,2022,1,map,insurance,india,2022-Q1,627.858906939731,496.2598870056497
