name,count,amount,state,year,quarter,country,date,avg_transaction_value,growth
himachal pradesh,526343,0.0,All,2018,4,india,2018-Q4,0.0,-0.9193922090197696
west bengal,6279278,0.0,All,2018,4,india,2018-Q4,0.0,10.930011418409668
gujarat,5579040,0.0,All,2018,4,india,2018-Q4,0.0,-0.11151568699458758
sikkim,48538,0.0,All,2018,4,india,2018-Q4,0.0,-0.9912999369067079
nagaland,42997,0.0,All,2018,4,india,2018-Q4,0.0,-0.11415797931517568
mizoram,19365,0.0,All,2018,4,india,2018-Q4,0.0,-0.5496197409121566
chhattisgarh,1579998,0.0,All,2018,4,india,2018-Q4,0.0,80.59039504260264
jammu & kashmir,436563,0.0,All,2018,4,india,2018-Q4,0.0,-0.7236939540429799
goa,195350,0.0,All,2018,4,india,2018-Q4,0.0,-0.5525273557310171
arunachal pradesh,61852,0.0,All,2018,4,india,2018-Q4,0.0,-0.683378551318147
delhi,4630313,0.0,All,2018,4,india,2018-Q4,0.0,73.86116859600337
uttarakhand,1012103,0.0,All,2018,4,india,2018-Q4,0.0,-0.781418016449428
puducherry,133059,0.0,All,2019,1,india,2019-Q1,0.0,-0.8685321553241123
tamil nadu,6296303,0.0,All,2019,1,india,2019-Q1,0.0,46.31963264416537
uttar pradesh,12458661,0.0,All,2019,1,india,2019-Q1,0.0,0.9787264050030628
madhya pradesh,6414403,0.0,All,2019,1,india,2019-Q1,0.0,-0.4851450729737329
andhra pradesh,8283019,0.0,All,2019,1,india,2019-Q1,0.0,0.29131565322602904
tripura,183254,0.0,All,2019,1,india,2019-Q1,0.0,-0.977875941127263
lakshadweep,1416,0.0,All,2019,1,india,2019-Q1,0.0,-0.9922730199613651
manipur,99527,0.0,All,2019,1,india,2019-Q1,0.0,69.28742937853107
maharashtra,16284451,0.0,All,2019,1,india,2019-Q1,0.0,162.61842515096407
dadra & nagar haveli & daman & diu,140532,0.0,All,2019,1,india,2019-Q1,0.0,-0.9913701726880446
meghalaya,61487,0.0,All,2019,1,india,2019-Q1,0.0,-0.562469757777588
andaman & nicobar islands,18596,0.0,All,2019,1,india,2019-Q1,0.0,-0.6975620862946639
haryana,4538767,0.0,All,2019,1,india,2019-Q1,0.0,243.07221983222198
rajasthan,7712204,0.0,All,2019,1,india,2019-Q1,0.0,0.69918482266219
ladakh,29649,0.0,All,2019,1,india,2019-Q1,0.0,-0.9961555736855509
punjab,2226590,0.0,All,2019,1,india,2019-Q1,0.0,74.09831697527741
assam,1259085,0.0,All,2019,1,india,2019-Q1,0.0,-0.43452319466089406
jharkhand,2279329,0.0,All,2019,1,india,2019-Q1,0.0,0.8103058967424757
odisha,4320744,0.0,All,2019,1,india,2019-Q1,0.0,0.8956210358399337
bihar,5745117,0.0,All,2019,1,india,2019-Q1,0.0,0.3296591975826386
kerala,2136624,0.0,All,2019,1,india,2019-Q1,0.0,-0.6280973912280637
karnataka,10266174,0.0,All,2019,1,india,2019-Q1,0.0,3.80485756969874
chandigarh,209175,0.0,All,2019,1,india,2019-Q1,0.0,-0.9796248339449536
telangana,7963425,0.0,All,2019,1,india,2019-Q1,0.0,37.070634636070274
himachal pradesh,653205,0.0,All,2019,1,india,2019-Q1,0.0,-0.917974364045621
west bengal,7449425,0.0,All,2019,1,india,2019-Q1,0.0,10.404421276628318
gujarat,6652536,0.0,All,2019,1,india,2019-Q1,0.0,-0.10697322276551546
sikkim,58956,0.0,All,2019,1,india,2019-Q1,0.0,-0.9911378157141878
nagaland,53911,0.0,All,2019,1,india,2019-Q1,0.0,-0.08557229120021714
mizoram,23670,0.0,All,2019,1,india,2019-Q1,0.0,-0.5609430357440968
chhattisgarh,1908898,0.0,All,2019,1,india,2019-Q1,0.0,79.6463033375581
jammu & kashmir,530669,0.0,All,2019,1,india,2019-Q1,0.0,-0.722002432817259
goa,238152,0.0,All,2019,1,india,2019-Q1,0.0,-0.5512230787929953
arunachal pradesh,76957,0.0,All,2019,1,india,2019-Q1,0.0,-0.676857637139306
delhi,5499263,0.0,All,2019,1,india,2019-Q1,0.0,70.45890562262042
uttarakhand,1224955,0.0,All,2019,1,india,2019-Q1,0.0,-0.7772510607330473
puducherry,156458,661932.0,All,2019,2,india,2019-Q2,4.230732848432167,-0.8722744917160222
tamil nadu,7429609,33658961.0,All,2019,2,india,2019-Q2,4.530381208486207,46.486283858926996
uttar pradesh,14316349,78394040.0,All,2019,2,india,2019-Q2,5.475840243905761,0.9269316864454105
madhya pradesh,7301172,50642151.0,All,2019,2,india,2019-Q2,6.936167371485016,-0.4900115944365424
andhra pradesh,9389003,81375251.0,All,2019,2,india,2019-Q2,8.667081158670415,0.28595833655199465
tripura,217644,953627.0,All,2019,2,india,2019-Q2,4.381591038576758,-0.97681926398362
