name,count,amount,state,year,quarter,source,category,level,country,date,avg_transaction_value,growth
andhra pradesh,56409015,113634518758.22932,All,2019,2,top,transaction,states,india,2019-Q2,2014.4744374321963,-0.01333700952320449
rajasthan,50009286,89107313172.66756,All,2019,2,top,transaction,states,india,2019-Q2,1781.815344707532,-0.11345223808641225
west bengal,47023535,57105691119.11844,All,2019,2,top,transaction,states,india,2019-Q2,1214.406597018247,-0.0597039317857887
madhya pradesh,40846013,68334566380.56182,All,2019,2,top,transaction,states,india,2019-Q2,1672.9800869563896,-0.13137085504099166
tamil nadu,32171737,64207676025.75553,All,2019,2,top,transaction,states,india,2019-Q2,1995.7789666674053,-0.21236530478507165
bengaluru urban,89148659,113389910485.89922,All,2019,2,top,transaction,districts,india,2019-Q2,1271.9194181698147,1.7710241134944003
pune,44795652,58398808592.1738,All,2019,2,top,transaction,districts,india,2019-Q2,1303.6713606082528,-0.49751737712622235
hyderabad,43511186,73949377453.0185,All,2019,2,top,transaction,districts,india,2019-Q2,1699.5486506163838,-0.028673898975730916
jaipur,27449382,46056907216.76753,All,2019,2,top,transaction,districts,india,2019-Q2,1677.8850327766042,-0.3691419489232033
new delhi,23313548,36146671717.918365,All,2019,2,top,transaction,districts,india,2019-Q2,1550.4577732191756,-0.15067129744487506
rangareddy,16348519,25359412038.382965,All,2019,2,top,transaction,districts,india,2019-Q2,1551.1748824699634,-0.29875456966052527
patna,13421445,26125484618.416546,All,2019,2,top,transaction,districts,india,2019-Q2,1946.5478283758973,-0.17904215054586903
khordha,13339889,19006076643.493904,All,2019,2,top,transaction,districts,india,2019-Q2,1424.7552317334803,-0.006076543919078747
kolkata,13259522,17260848900.77318,All,2019,2,top,transaction,districts,india,2019-Q2,1301.7700714077912,-0.006024562873049422
lucknow,12624404,22426462674.94428,All,2019,2,top,transaction,districts,india,2019-Q2,1776.4373411167987,-0.04789901174416389
560001,27169035,40026681539.0066,All,2019,2,top,transaction,pincodes,india,2019-Q2,1473.246346033512,1.1521043686497991
500012,23303184,42709920754.79193,All,2019,2,top,transaction,pincodes,india,2019-Q2,1832.7933536804212,-0.14228885935772106
411006,22544991,34073354893.758354,All,2019,2,top,transaction,pincodes,india,2019-Q2,1511.3492346818127,-0.03253602597825256
110011,20001452,31366326747.68567,All,2019,2,top,transaction,pincodes,india,2019-Q2,1568.2024858838083,-0.1128205817425254
302001,14130072,26047079270.71371,All,2019,2,top,transaction,pincodes,india,2019-Q2,1843.379090404756,-0.2935476884378194
700009,9694969,12068405239.946836,All,2019,2,top,transaction,pincodes,india,2019-Q2,1244.8111221342572,-0.3138768861191932
800015,9362673,19331794343.8828,All,2019,2,top,transaction,pincodes,india,2019-Q2,2064.772992059298,-0.0342750967022174
226004,8966947,16438621373.818607,All,2019,2,top,transaction,pincodes,india,2019-Q2,1833.2461844392085,-0.04226634850966171
751002,8318660,12733845249.989029,All,2019,2,top,transaction,pincodes,india,2019-Q2,1530.756786548438,-0.07229740512573568
600003,6992850,13700604318.48539,All,2019,2,top,transaction,pincodes,india,2019-Q2,1959.2304022659416,-0.15937783248744386
karnataka,170733735,214536720438.1829,All,2019,3,top,transaction,states,india,2019-Q3,1256.5572962963815,23.415472232351615
maharashtra,148735581,199617506744.94272,All,2019,3,top,transaction,states,india,2019-Q3,1342.0965272925698,-0.1288448003553604
telangana,121495376,201930021130.42365,All,2019,3,top,transaction,states,india,2019-Q3,1662.0387357822049,-0.1831451816495745
andhra pradesh,76288614,139447944254.78943,All,2019,3,top,transaction,states,india,2019-Q3,1827.8998259791354,-0.3720862759418926
delhi,69537876,103196812046.45712,All,2019,3,top,transaction,states,india,2019-Q3,1484.0374481161477,-0.08848945663110352
uttar pradesh,68623959,111268137475.02844,All,2019,3,top,transaction,states,india,2019-Q3,1621.4182203482087,-0.013142722392038508
rajasthan,67303617,112468290031.92345,All,2019,3,top,transaction,states,india,2019-Q3,1671.0586302059137,-0.019240248147152195
